Country,Life Ladder,Healthy Life Expectancy/10,Social Support,Generosity,Positive Affect,Negative Affect,Log GDP per capita,Healthy life expectancy at birth
Afghanistan,3.6,5.2,5.3,1.8,5,3.7,7.462609768,52.01332855
Albania,4.6,6.9,6.4,2.6,6.7,3.3,9.338126183,68.87155151
Algeria,5.3,6.6,7.8,1.3,6.4,2.9,9.54070282,65.6048584
Angola,3.8,5.2,7.7,1.1,5.8,3.7,8.741956711,52.46070862
Argentina,6.4,6.7,9.1,1.6,8.1,2.9,9.842000961,67.39848328
Armenia,4.3,6.5,7.1,1.2,6.3,4.4,9.018901825,64.96247864
Australia,7.3,7.3,9.5,6.9,7.8,2.3,10.70041943,72.65029907
Austria,7.1,7.2,9.2,5.1,7.5,1.8,10.70491695,72.04956818
Azerbaijan,5.2,6.3,7.8,1,5.9,2,9.685745239,62.96974945
Bahrain,6.1,6.6,8.6,5.1,8.1,2.9,10.69341278,65.97679138
Bangladesh,4.5,6.2,6.5,1.7,5.7,2.1,8.106625557,62.20355988
Belarus,5.5,6.6,9.2,2.2,5.4,2.3,9.733157158,66.03050995
Belgium,6.9,7.2,9.1,4.2,7.9,2.3,10.64765549,72.14292908
Belize,6,5.9,7.6,2.9,7.5,2.8,8.987882614,58.92390823
Benin,4.1,5.2,4.6,1.5,6.1,4.6,7.610313416,51.5617981
Bhutan,5.1,6.1,8.5,5.6,8.1,3.1,8.954587936,60.56794357
Bolivia,5.8,6,8.1,2.1,7,4.3,8.809252739,59.99578857
Bosnia and Herzegovina,5.1,6.8,7.5,3.6,6,2.7,9.335348129,67.83827209
Botswana,3.6,5.7,7.9,1.2,6.6,2.8,9.661838531,57.10570526
Brazil,6.4,6.5,9.1,2.2,7.2,3.1,9.563308716,65.244133
Bulgaria,4.9,6.6,9.2,1.6,6.1,1.9,9.783441544,66.4154892
Burkina Faso,4.4,5.2,7.5,1.5,5.9,3.5,7.404325962,51.99110031
Burundi,2.9,4.9,5.6,0.5,6.6,2.5,6.688570023,48.56855774
Cambodia,4.4,5.8,7.5,3.4,8,4.1,8.159075737,58.37112808
Cameroon,5,5,6.7,2.2,6.3,3.8,8.114089012,49.73516464
Canada,7.3,7.2,9.3,6.3,8.2,2.4,10.66978168,72.19080353
Central African Republic,3.1,4.4,3.1,1.7,6.1,6,6.473706245,44.31241989
Chad,4.3,4.6,6.8,1.7,6.3,5.4,7.546162128,45.65771484
Chile,6.5,6.9,8.5,3.9,8.4,2.9,10.0303154,69.43771362
China,5.2,6.9,7.7,0.9,8.2,2.1,9.574295998,69.15530396
Colombia,6.3,6.4,8.9,1.9,8.4,3,9.48151207,63.98257065
Congo (Brazzaville),4.6,5.5,6.4,1.1,6,3.8,8.586006165,54.78947067
Congo (Kinshasa),4.2,5,7.7,1.2,5.5,4,6.619260788,50.42560196
Costa Rica,7.1,7,9,2.7,8.7,2.8,9.64099884,69.69971466
Croatia,5.3,6.7,7.8,2.6,6.6,3.2,9.977690697,67.19174194
Cyprus,5.8,7.3,7.9,4.2,7.8,3,10.34348869,72.60899353
Czech Republic,6.7,7.1,9.1,2.1,7.4,2.3,10.35843086,70.87612152
Denmark,7.6,7.1,9.6,5.8,8.2,2.1,10.73639584,71.31227112
Dominican Republic,5.3,6.3,8.9,2.3,7.4,2.7,9.549773216,63.33527756
Ecuador,6,6.7,8.5,2,8.3,3.1,9.252638817,67.146492
Egypt,4.4,6.1,7.2,1.6,5.4,4.1,9.240495682,61.41292572
El Salvador,6.2,6.4,8.1,1,8.5,2.7,8.984984398,64.09542847
Estonia,5.7,6.7,9.3,2.3,8.1,1.6,10.2510128,67.19956207
